Player #,# Rounds,# Vertices,# Players,Edge Density,Algorithm,Ranking,Score,# Controlled Vertices
2,3,174,5,0.15690583797537921,neighbors,3,130.49999999999997,42
3,3,174,5,0.15690583797537921,neighbors,1,146.81250000000003,47
4,3,174,5,0.15690583797537921,max,5,54.0,17
5,3,174,5,0.15690583797537921,random,4,69.98882681564245,22
1,3,78,4,0.11072287906893369,max,3,50.74698795180722,14
2,3,78,4,0.11072287906893369,neighbors,1,100.88000000000001,29
3,3,78,4,0.11072287906893369,random,4,33.86842105263158,14
4,3,78,4,0.11072287906893369,neighbors,2,70.87966804979251,21
1,3,63,6,0.2203836570137196,uncontrolled max,4,27.931034482758623,7
2,3,63,6,0.2203836570137196,greedy,2,51.822580645161274,15
3,3,63,6,0.2203836570137196,max,5,27.583783783783783,7
4,3,63,6,0.2203836570137196,max,3,35.95108695652174,9
5,3,63,6,0.2203836570137196,greedy,1,52.39603960396039,17
6,3,63,6,0.2203836570137196,random,6,18.721698113207545,8
1,4,239,3,0.4322437356364854,max,2,251.39017735334238,85
2,4,239,3,0.4322437356364854,max,1,255.55411255411252,83
3,4,239,3,0.4322437356364854,uncontrolled max,3,215.4033850493654,71
1,5,84,6,0.44993631696779146,max,5,47.31428571428572,13
2,5,84,6,0.44993631696779146,max,4,48.49811320754717,15
3,5,84,6,0.44993631696779146,max,6,38.918918918918926,9
4,5,84,6,0.44993631696779146,neighbors,3,49.82509505703422,15
5,5,84,6,0.44993631696779146,neighbors,1,56.35443037974683,18
6,5,84,6,0.44993631696779146,max,2,55.55905511811025,14
1,4,193,3,0.2004379139806814,greedy,1,325.13827993254625,104
2,4,193,3,0.2004379139806814,neighbors,3,136.00671140939602,44
3,4,193,3,0.2004379139806814,uncontrolled max,2,159.278810408922,45
1,5,117,2,0.11530542543822947,max,1,201.53571428571425,66
2,5,117,2,0.11530542543822947,max,2,161.83177570093454,51
1,3,114,5,0.11651569273879564,greedy,4,66.35820895522387,26
2,3,114,5,0.11651569273879564,max,1,79.60344827586206,25
3,3,114,5,0.11651569273879564,random,2,79.53488372093024,23
4,3,114,5,0.11651569273879564,neighbors,3,75.27717391304347,24
5,3,114,5,0.11651569273879564,max,5,49.764705882352956,16
1,2,217,6,0.4968708722556908,random,4,96.25278219395867,32
2,2,217,6,0.4968708722556908,max,6,70.86357039187232,28
3,2,217,6,0.4968708722556908,neighbors,2,132.05705229793972,41
4,2,217,6,0.4968708722556908,max,5,75.271875,22
5,2,217,6,0.4968708722556908,uncontrolled max,1,153.05954198473285,52
6,2,217,6,0.4968708722556908,neighbors,3,128.76923076923077,42
1,2,57,5,0.1467597357755262,uncontrolled max,4,23.15625,7
2,2,57,5,0.1467597357755262,max,3,39.74594594594595,11
3,2,57,5,0.1467597357755262,neighbors,1,57.60962566844918,19
4,2,57,5,0.1467597357755262,random,5,17.657608695652176,6
5,2,57,5,0.1467597357755262,neighbors,2,45.80357142857144,13
1,2,191,3,0.18558399632057493,random,2,186.9144385026738,58
2,2,191,3,0.18558399632057493,neighbors,1,345.0433996383363,112
3,2,191,3,0.18558399632057493,random,3,61.89198606271779,21
1,2,133,6,0.3241903953465535,neighbors,5,51.0,17
2,2,133,6,0.3241903953465535,max,6,47.96163682864451,16
3,2,133,6,0.3241903953465535,random,4,53.865,17
4,2,133,6,0.3241903953465535,greedy,1,112.1240506329114,31
5,2,133,6,0.3241903953465535,neighbors,3,65.4609375,17
6,2,133,6,0.3241903953465535,greedy,2,109.28682170542633,35
1,2,233,3,0.10071352111164017,random,3,149.015427769986,49
2,2,233,3,0.10071352111164017,greedy,1,416.9109792284865,139
3,2,233,3,0.10071352111164017,max,2,150.36627906976736,45
1,3,227,2,0.03089238350456236,uncontrolled max,1,346.43895348837185,117
2,3,227,2,0.03089238350456236,random,2,303.9611197511664,99
1,5,106,6,0.1949536067674424,neighbors,3,61.88622754491019,19
2,5,106,6,0.1949536067674424,random,4,55.55421686746988,18
3,5,106,6,0.1949536067674424,random,6,34.10725552050474,11
4,5,106,6,0.1949536067674424,uncontrolled max,5,46.56074766355141,14
5,5,106,6,0.1949536067674424,max,2,73.31666666666666,20
6,5,106,6,0.1949536067674424,max,1,80.6455331412104,24
1,2,184,5,0.4721492282518895,max,3,101.21739130434786,32
2,2,184,5,0.4721492282518895,uncontrolled max,2,122.55412844036692,41
3,2,184,5,0.4721492282518895,max,4,97.6699801192843,37
4,2,184,5,0.4721492282518895,neighbors,1,163.3258426966291,50
5,2,184,5,0.4721492282518895,neighbors,5,69.24381625441697,24
1,5,245,6,0.3387391163770727,uncontrolled max,6,110.29880478087648,33
2,5,245,6,0.3387391163770727,neighbors,2,149.31192660550462,47
3,5,245,6,0.3387391163770727,uncontrolled max,5,112.04895104895101,31
4,5,245,6,0.3387391163770727,uncontrolled max,1,170.28141361256553,58
5,5,245,6,0.3387391163770727,random,3,124.79136690647489,40
6,5,245,6,0.3387391163770727,uncontrolled max,4,124.2108938547486,36
1,5,128,5,0.03872767807882488,neighbors,2,104.28426395939087,30
2,5,128,5,0.03872767807882488,random,3,60.25531914893616,20
3,5,128,5,0.03872767807882488,uncontrolled max,5,45.11749347258486,14
4,5,128,5,0.03872767807882488,uncontrolled max,4,52.18461538461538,13
5,5,128,5,0.03872767807882488,greedy,1,132.54822335025383,40
1,2,239,2,0.164206532319582,max,2,329.06304985337255,102
2,2,239,2,0.164206532319582,max,1,404.9631650750341,137
1,2,76,3,0.21314590740222394,random,3,55.10000000000001,18
2,2,76,3,0.21314590740222394,neighbors,2,83.69620253164557,25
3,2,76,3,0.21314590740222394,neighbors,1,94.1284403669725,33
1,3,233,2,0.43808316647318796,uncontrolled max,1,426.6488888888898,141
2,3,233,2,0.43808316647318796,max,2,271.61142857142863,92
1,2,160,6,0.02462490761403513,greedy,1,102.5726141078838,38
2,2,160,6,0.02462490761403513,max,5,25.152838427947597,5
3,2,160,6,0.02462490761403513,neighbors,2,97.93939393939391,32
4,2,160,6,0.02462490761403513,greedy,3,86.35983263598328,31
5,2,160,6,0.02462490761403513,random,4,47.32394366197183,15
6,2,160,6,0.02462490761403513,random,6,24.000000000000004,8
1,2,105,4,0.06780177393215225,max,4,34.7910447761194,13
2,2,105,4,0.06780177393215225,uncontrolled max,2,60.145631067961155,18
3,2,105,4,0.06780177393215225,neighbors,1,177.64534883720933,59
4,2,105,4,0.06780177393215225,uncontrolled max,3,38.76923076923077,11
1,2,54,5,0.28591281494001,max,3,34.57317073170732,10
2,2,54,5,0.28591281494001,greedy,1,64.24137931034483,20
3,2,54,5,0.28591281494001,random,4,32.79754601226995,11
4,2,54,5,0.28591281494001,max,5,10.67065868263473,3
5,2,54,5,0.28591281494001,uncontrolled max,2,38.236024844720504,10
1,2,209,5,0.44314031101963247,greedy,4,115.81528662420382,39
2,2,209,5,0.44314031101963247,greedy,2,146.64467766116945,48
3,2,209,5,0.44314031101963247,max,5,78.73953488372094,25
4,2,209,5,0.44314031101963247,greedy,1,159.7452229299364,56
5,2,209,5,0.44314031101963247,greedy,3,135.7097315436241,41
